,SK_ID_CURR,DAYS_BIRTH,DAYS_EMPLOYED,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Highereducation,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,DAYS_EMPLOYED_PERC,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_CODE_REJECT_REASON_XAP_MEAN
307998,103432,-15257,-5574.0,2,2,0.5068562993052422,0.2445245260878889,0.6279908192952864,1,0,1,0.3653404994428786,-2898.0,-1370.3333333333333,-396.1666666666667,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0
308002,103453,-15806,-1028.0,2,2,0.5068562993052422,0.5562089827597436,0.5549467685334323,0,0,1,0.0650385929393901,-1668.0,-751.1666666666666,-144.66666666666666,0.5,0.5,1.0,0.0,0.0,1.0
308041,103676,-21220,-2927.0,2,2,0.5068562993052422,0.5258154561575856,0.4686596550493113,1,0,1,0.1379359095193214,-1377.0,-819.5454545454545,-409.8181818181818,0.9090909090909092,0.0909090909090909,1.0,0.0,0.0,1.0
308051,103783,-13478,-869.0,2,2,0.5748654551641783,0.5914448246174405,0.5064842396679806,1,0,1,0.0644754414601573,-598.0,-593.0,-160.5,0.5,0.5,0.3333333333333333,0.0,0.0,1.0
308056,103814,-12296,-1758.0,2,2,0.2137862379051885,0.5954703083896647,0.5316861425197883,0,1,0,0.1310344827586207,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,1.0
308084,103998,-18343,-3149.0,3,3,0.5068562993052422,0.1171043506181062,0.3001077565791181,1,0,1,0.1716731178106089,-2032.0,-924.4444444444443,-583.6666666666666,0.5555555555555556,0.4444444444444444,1.0,0.0,0.0,1.0
308096,104089,-17325,-2513.0,2,2,0.5068562993052422,0.4642874351389268,0.8106180215523969,1,0,1,0.145050505050505,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.8571428571428571
308106,104136,-19827,-741.0,2,2,0.5068562993052422,0.6152664780511079,0.7062051096536562,1,0,1,0.0373732788621576,-2814.0,-2271.0,-779.6153846153846,0.0769230769230769,0.9230769230769232,1.0,0.0,0.0,1.0
308127,104319,-22112,-1758.0,2,2,0.5068562993052422,0.588900780040256,0.3344541255096772,0,0,1,0.1310344827586207,-1924.0,-1245.25,-505.25,0.5,0.5,1.0,0.0,0.0,1.0
308176,104618,-11171,-2926.0,2,2,0.3689685457630317,0.6387397769371929,0.324891229465852,1,0,1,0.2619282069644615,-2400.0,-660.4444444444445,-484.6666666666667,0.3333333333333333,0.6666666666666666,0.6,0.2,0.0,0.8
308188,104685,-16035,-4509.0,3,3,0.2554546742810104,0.2448518856584354,0.4382813743111921,0,0,1,0.2811973807296539,-2507.0,-921.7142857142856,-443.57142857142856,0.4285714285714285,0.5714285714285714,0.375,0.25,0.25,0.75
308195,104718,-14373,-3097.0,2,2,0.5068562993052422,0.7974985872630092,0.6690566947824041,0,1,0,0.2154734571766506,-1999.0,-1381.5,-257.625,0.25,0.75,1.0,0.0,0.0,1.0
308207,104830,-8560,-262.0,2,2,0.5068562993052422,0.5380705859834183,0.4561097392782771,0,0,1,0.030607476635514,-1101.0,-1016.5,-433.0,0.5,0.5,1.0,0.0,0.0,1.0
308217,104878,-23392,-1758.0,2,2,0.7063297191359207,0.6954600262829301,0.5691487713619409,0,0,1,0.1310344827586207,-2782.0,-1887.3076923076924,-1298.3846153846157,0.0769230769230769,0.9230769230769232,0.625,0.125,0.125,0.875
308233,104972,-15796,-646.0,2,2,0.5068562993052422,0.0991978666999672,0.3506958432829587,1,0,1,0.0408964294758166,-609.0,-609.0,-546.0,0.0,1.0,0.625,0.25,0.25,0.75
308259,105195,-19643,-4354.0,2,2,0.5068562993052422,0.4554069454271559,0.5082869913916046,0,0,1,0.2216565697704016,-916.0,-491.6666666666667,-138.33333333333334,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0
308277,105282,-17916,-888.0,2,2,0.5972041601159555,0.6200020910574289,0.7726311345553628,1,0,1,0.0495646349631614,-2853.0,-2853.0,-1306.0,0.0,1.0,1.0,0.0,0.0,1.0
308289,105370,-14612,-1112.0,1,1,0.7988064562287104,0.7678885036408941,0.5298898341969072,0,1,0,0.0761018341089515,-1468.0,-1221.2,-327.2,0.4,0.6,1.0,0.0,0.0,1.0
308301,105470,-19719,-1181.0,2,2,0.6882408177337995,0.5963075751209981,0.5954562029091491,1,0,1,0.0598914752269384,-976.0,-788.0,-332.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
308306,105514,-19907,-2245.0,2,2,0.5068562993052422,0.6295267417470465,0.5154953751603267,0,0,1,0.1127744009644848,-1357.0,-625.0,-183.4,0.8,0.2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
308319,105621,-16781,-4541.0,2,2,0.6892868075310792,0.5375976893542143,0.5334816299804352,0,0,1,0.2706036588999463,-2747.0,-1299.0,-826.5,0.375,0.625,0.75,0.0,0.0,1.0
308343,105740,-8995,-1713.0,2,2,0.322056386369924,0.4297606457980159,0.228883416700673,1,0,1,0.1904391328515842,-1148.0,-499.3636363636364,-131.1818181818182,0.5454545454545454,0.4545454545454545,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.7142857142857143
308363,105906,-23828,-1758.0,2,2,0.5068562993052422,0.6512963851447869,0.6817058776720116,0,0,1,0.1310344827586207,-2474.0,-2285.25,-1940.75,0.0,1.0,0.45,0.55,0.4,0.45
308417,106262,-10382,-1681.0,2,2,0.5068562993052422,0.3881071958967072,0.3328505641648731,1,0,1,0.1619148526295511,-1164.0,-897.7142857142857,-481.8571428571428,0.0,1.0,1.0,0.0,0.0,1.0
308442,106401,-8557,-248.0,3,3,0.5068562993052422,0.3371188933251929,0.5316861425197883,1,0,1,0.0289821199018347,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
308459,106514,-15668,-3385.0,3,3,0.6894495960874195,0.0316602915474743,0.4812493411434029,1,1,0,0.2160454429410263,-1266.0,-637.7272727272727,-309.0,0.3636363636363636,0.6363636363636364,0.75,0.0,0.0,1.0
308491,106787,-16505,-3863.0,2,2,0.5068562993052422,0.6278012911960628,0.3842068130556564,0,0,1,0.2340502877915783,-2331.0,-1379.0,-910.8,0.4,0.6,0.4,0.5,0.5,0.5
308624,107790,-24077,-1758.0,3,3,0.5068562993052422,0.1267284196777453,0.6512602186973006,0,0,1,0.1310344827586207,-1404.0,-776.25,-444.75,0.25,0.75,0.5,0.25,0.25,0.75
308680,108295,-16381,-2796.0,1,1,0.5068562993052422,0.7989075104428741,0.5638350489514956,0,0,1,0.1706855503327025,-1641.0,-1349.25,-623.25,0.5,0.5,1.0,0.0,0.0,1.0
308685,108353,-16850,-3549.0,2,2,0.5068562993052422,0.6100824517843844,0.3092753558842053,0,0,1,0.2106231454005934,-2772.0,-1349.7142857142858,-619.7142857142857,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.0,0.0,1.0
308708,108476,-16763,-2851.0,1,1,0.5291996115960521,0.6404939148854696,0.5316861425197883,0,0,1,0.17007695519895,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.625,0.25,0.25,0.75
308723,108559,-17286,-2131.0,2,2,0.7520676824774855,0.6250942728724386,0.5046813193144684,0,0,1,0.1232789540668749,-509.0,-352.5,-139.0,0.5,0.5,1.0,0.0,0.0,1.0
308726,108572,-21730,-2642.0,1,1,0.5068562993052422,0.7017036318015829,0.501075160239048,0,0,1,0.1215830648872526,-1405.0,-887.0,-95.0,1.0,0.0,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.8571428571428571
308729,108584,-24642,-1758.0,3,3,0.5068562993052422,0.3572217180233503,0.7662336700704004,0,1,0,0.1310344827586207,-2181.0,-1315.5,-163.0,0.25,0.75,0.6666666666666666,0.0,0.0,1.0
308737,108643,-19488,-1758.0,2,2,0.5068562993052422,0.5953122710441817,0.5726825047161584,0,1,0,0.1310344827586207,-1511.0,-1511.0,-15.0,1.0,0.0,1.0,0.0,0.0,1.0
308762,108802,-13506,-1166.0,2,2,0.3343023012177177,0.6966998319135418,0.4848514754962666,1,1,0,0.0863320005923293,-427.0,-427.0,-116.0,1.0,0.0,1.0,0.0,0.0,1.0
308792,108993,-12303,-1769.0,2,2,0.5068562993052422,0.202857228738131,0.5316861425197883,0,0,1,0.1437860684385922,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
308850,109414,-8565,-851.0,3,3,0.1094650507104251,0.1540259233715051,0.221335206354466,0,0,1,0.0993578517221249,-437.0,-351.0,-82.0,1.0,0.0,0.6666666666666666,0.0,0.0,1.0
308864,109505,-19618,-1365.0,3,3,0.5068562993052422,0.5095841774268782,0.5814837058057234,1,0,1,0.0695789580997043,-2728.0,-891.25,-601.75,0.75,0.25,0.2857142857142857,0.0,0.0,1.0
308882,109649,-17084,-2665.0,2,2,0.4886901741146649,0.5815918343309361,0.7076993447402619,1,0,1,0.1559939124326855,-1841.0,-1222.2,-474.6,0.2,0.8,1.0,0.0,0.0,1.0
308928,110069,-22951,-1758.0,3,3,0.5068562993052422,0.6668360845791214,0.1595195404777181,0,0,1,0.1310344827586207,-2774.0,-1336.076923076923,-512.6153846153846,0.2307692307692307,0.7692307692307693,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714
308986,110550,-23484,-1758.0,2,2,0.5068562993052422,0.7963945237506443,0.6144143775673561,0,0,1,0.1310344827586207,-2155.0,-1286.5,-1083.0,0.5,0.5,0.0,1.0,1.0,0.0
309030,110865,-22423,-1758.0,3,3,0.3916288821689263,0.0305505776776111,0.5814837058057234,0,0,1,0.1310344827586207,-2673.0,-1871.6666666666667,-145.0,0.3333333333333333,0.6666666666666666,0.5,0.25,0.25,0.5
309032,110889,-16612,-2605.0,2,2,0.6110899185176399,0.5887684218991628,0.5460231970049609,0,0,1,0.1568143510715145,-783.0,-783.0,-5.0,1.0,0.0,0.3571428571428571,0.2142857142857142,0.2142857142857142,0.7857142857142857
309048,110993,-11443,-1888.0,2,2,0.5068562993052422,0.291158836337162,0.059629657546692,1,0,1,0.1649916979812986,-2545.0,-657.2142857142857,-313.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444
309079,111194,-16816,-8713.0,3,3,0.3012633248923615,0.1885972677434872,0.4668640059537032,1,0,1,0.5181374881065651,-2628.0,-1250.8461538461538,-722.9230769230769,0.4615384615384615,0.5384615384615384,1.0,0.0,0.0,1.0
309098,111294,-14520,-3723.0,2,2,0.8008147900524187,0.5745836741434339,0.5316861425197883,0,1,0,0.2564049586776859,-1309.0,-1152.0,-425.5,0.5,0.5,0.1764705882352941,0.2941176470588235,0.2941176470588235,0.7058823529411765
309114,111391,-22579,-1758.0,3,3,0.5747617558452532,0.061891495672149,0.5316861425197883,0,0,1,0.1310344827586207,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.4,0.5,0.4,0.5
309124,111478,-9151,-162.0,2,2,0.5068562993052422,0.2111082958900445,0.5316861425197883,0,0,1,0.0177029832805157,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
309125,111482,-16673,-5230.0,2,2,0.5068562993052422,0.4021073144837701,0.7309873696832169,1,0,1,0.3136808012955077,-2412.0,-1561.2857142857142,-666.8571428571429,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.8333333333333334
309129,111512,-24321,-1758.0,2,2,0.5068562993052422,0.7757558049669991,0.5316861425197883,0,0,1,0.1310344827586207,-2456.0,-2456.0,-2151.0,0.0,1.0,0.625,0.125,0.125,0.875
309131,111532,-16009,-1331.0,1,1,0.3569595222999974,0.7346826636981348,0.2127563054543414,0,0,0,0.0831407333374976,-2720.0,-1071.2105263157894,-505.10526315789474,0.1052631578947368,0.8947368421052632,0.5,0.25,0.25,0.5
309141,111618,-13038,-4063.0,2,2,0.5068562993052422,0.6511622821622659,0.4014074137749511,0,0,1,0.3116275502377665,-2615.0,-1248.7142857142858,-1041.428571428571,0.2857142857142857,0.7142857142857143,1.0,0.0,0.0,1.0
309288,112604,-10863,-93.0,2,2,0.2344326139559492,0.1848811929346336,0.5316861425197883,1,0,1,0.0085611709472521,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.875,0.0,0.0,1.0
309338,112902,-10490,-281.0,1,1,0.5068562993052422,0.7332394358804959,0.5316861425197883,0,0,1,0.0267874165872259,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0
309410,113406,-14724,-773.0,3,3,0.7240976634299998,0.5826823038654974,0.2067786544915716,1,0,1,0.0524993208367291,-2373.0,-702.25,-339.625,0.625,0.375,0.5,0.25,0.25,0.75
309411,113410,-15627,-308.0,2,2,0.0455318112483993,0.1118275167354078,0.190705947811054,1,0,1,0.01970947718692,-2673.0,-967.3529411764706,-648.0,0.2352941176470588,0.7647058823529411,0.2592592592592592,0.3333333333333333,0.3333333333333333,0.6666666666666666
309412,113413,-9976,-905.0,2,2,0.7257616082074251,0.4975636673815189,0.5316861425197883,0,0,1,0.0907177225340818,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.75,0.0,0.0,1.0
309418,113458,-14643,-1630.0,2,2,0.4511856969860519,0.6366076619108085,0.5316861425197883,0,0,1,0.1113159871611008,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.75,0.0,0.0,1.0
309437,113585,-17803,-2423.0,2,2,0.5068562993052422,0.7353215489663362,0.5316861425197883,1,1,0,0.136100657192608,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
309455,113694,-14140,-1758.0,3,3,0.5068562993052422,0.5474100840910763,0.5513812618027899,0,0,1,0.1310344827586207,-2741.0,-1791.6666666666667,-1206.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
309485,113894,-20457,-1758.0,2,2,0.5068562993052422,0.6182540189015268,0.4812493411434029,0,0,1,0.1310344827586207,-871.0,-464.5,-247.5,0.5,0.5,0.2,0.2,0.2,0.8
309547,114291,-9795,-780.0,2,2,0.1035338337217987,0.158281655357582,0.3280631605201915,1,0,1,0.0796324655436447,-1529.0,-1246.142857142857,-843.2857142857143,0.1428571428571428,0.8571428571428571,1.0,0.0,0.0,1.0
309550,114326,-16255,-3395.0,1,1,0.5179658088092532,0.7414255026522686,0.5316861425197883,0,0,1,0.2088588126730237,-762.0,-762.0,-6.0,0.0,1.0,0.8333333333333334,0.0,0.0,1.0
309569,114493,-16578,-4483.0,3,3,0.6811650033474064,0.3544798856528756,0.25533177083329,1,1,0,0.2704186270961515,-2834.0,-1473.6363636363635,-1108.2272727272727,0.2727272727272727,0.7272727272727273,0.375,0.375,0.0,0.625
309718,115485,-14436,-3664.0,2,2,0.4781367685926315,0.11684459627908,0.7662336700704004,1,0,1,0.2538099196453311,-1782.0,-945.0,-9.0,1.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.7272727272727273
309730,115592,-18900,-1758.0,2,2,0.5068562993052422,0.6847844635041593,0.5316861425197883,0,1,0,0.1310344827586207,-2514.0,-2210.5,-819.0,0.5,0.5,0.6,0.4,0.2,0.6
309933,116964,-23836,-1758.0,2,2,0.5068562993052422,0.700727767372961,0.41534714488434,0,0,1,0.1310344827586207,-2862.0,-1508.2142857142858,-740.0714285714286,0.2857142857142857,0.7142857142857143,0.5,0.3,0.2,0.7
309995,117341,-17962,-2011.0,2,2,0.5068562993052422,0.7060200818046481,0.7636399214572418,1,0,1,0.1119585792228037,-2905.0,-2183.25,-803.5,0.5,0.5,1.0,0.0,0.0,1.0
310041,117625,-12916,-498.0,2,2,0.5068562993052422,0.1938321149256438,0.5316861425197883,1,0,1,0.0385568287395478,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
310077,117924,-20386,-1758.0,2,2,0.5068562993052422,0.5692352654969581,0.5726825047161584,0,0,1,0.1310344827586207,-2618.0,-1072.6666666666667,-341.6666666666667,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
310087,118000,-18488,-680.0,2,2,0.5068562993052422,0.4546152408062722,0.434733248750173,1,0,1,0.0367806144526179,-732.0,-691.0,-252.66666666666663,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0
310111,118166,-17324,-1563.0,2,2,0.5068562993052422,0.4821327460011443,0.7610263695502636,0,0,1,0.0902216578157469,-1904.0,-774.1428571428571,-476.1428571428572,0.1428571428571428,0.8571428571428571,0.6666666666666666,0.0,0.0,1.0
310130,118326,-15431,-3944.0,1,1,0.0150029392241375,0.6454034618680502,0.2431864804420123,0,0,1,0.2555893979651351,-2693.0,-439.9574468085106,-291.3191489361702,0.4042553191489361,0.5957446808510638,0.625,0.125,0.125,0.875
310186,118747,-15793,-3790.0,2,2,0.6313865136466315,0.6160995322786736,0.5334816299804352,0,0,1,0.2399797378585449,-1943.0,-1295.0,-318.0,0.4,0.6,1.0,0.0,0.0,1.0
310187,118750,-15577,-702.0,2,2,0.5068562993052422,0.6740638994867602,0.248535557339522,1,1,0,0.0450664441163253,-919.0,-616.6,-95.0,0.8,0.2,0.5714285714285714,0.0,0.0,0.8571428571428571
310234,119104,-16756,-207.0,2,2,0.3872130560646512,0.5861822402404632,0.5316861425197883,1,0,1,0.0123537837192647,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
310246,119191,-13095,-1800.0,2,2,0.5916400073884921,0.5692674376418004,0.5316861425197883,1,0,1,0.1374570446735395,-2876.0,-1478.5,-723.0,0.25,0.75,1.0,0.0,0.0,1.0
310253,119236,-13224,-3318.0,3,3,0.5068562993052422,0.4076449930083697,0.3092753558842053,1,0,1,0.2509074410163339,-690.0,-580.0,-57.5,0.5,0.5,1.0,0.0,0.0,1.0
310267,119318,-11415,-2899.0,2,2,0.4087520520546592,0.3516329059951345,0.6986675550534175,1,1,0,0.253964082347788,-2726.0,-1784.5,-1115.7,0.3,0.7,0.8571428571428571,0.0,0.0,1.0
310325,119749,-16238,-453.0,1,1,0.6335727488675439,0.7057340599278709,0.3376727217405312,1,1,0,0.0278975243256558,-2273.0,-1230.4615384615386,-707.9230769230769,0.2307692307692307,0.7692307692307693,0.7777777777777778,0.0,0.0,0.8888888888888888
310377,120101,-17222,-2735.0,2,2,0.5986513576813348,0.6490881064850222,0.5316861425197883,1,0,1,0.1588085007548484,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0
310394,120227,-14409,-4826.0,3,3,0.2883441214536276,0.4737357790990426,0.3962195720630885,1,0,1,0.3349295579151919,-2580.0,-1129.5652173913045,-594.6086956521739,0.391304347826087,0.6086956521739131,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.8333333333333334
310396,120240,-16127,-2369.0,2,2,0.4964516052744672,0.6772411073895946,0.6127042441012546,1,0,1,0.1468965089601289,-2860.0,-1786.5,-370.3,0.2,0.8,1.0,0.0,0.0,1.0
310397,120243,-23154,-1758.0,3,3,0.5068562993052422,0.5235358634297471,0.7981372313187245,0,0,1,0.1310344827586207,-2801.0,-2801.0,-1309.0,0.0,1.0,0.5,0.1666666666666666,0.0,0.8333333333333334
310421,120437,-11251,-1949.0,2,2,0.6151345823863419,0.0022594886641731,0.4206109640437848,1,0,1,0.1732290463069949,-350.0,-350.0,-11.0,1.0,0.0,0.4444444444444444,0.0,0.0,1.0
310428,120463,-10239,-328.0,2,2,0.5068562993052422,0.5557231266232834,0.5316861425197883,1,0,1,0.0320343783572614,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.0,0.5555555555555556
310435,120541,-13080,-2549.0,2,2,0.5068562993052422,0.1399188688801998,0.6594055320683344,0,0,1,0.1948776758409786,-2491.0,-1506.0,-445.25,0.25,0.75,0.8333333333333334,0.0,0.0,1.0
310464,120755,-11601,-2043.0,2,2,0.4049592662958712,0.483028228417928,0.6594055320683344,1,0,1,0.1761055081458495,-1344.0,-815.3333333333334,-451.3333333333333,0.0,1.0,0.875,0.125,0.0,0.875
310532,121186,-18643,-1775.0,2,2,0.5068562993052422,0.3841057658258739,0.7597121819739279,1,1,0,0.0952099983908169,-2335.0,-2333.5,-1212.0,0.0,1.0,0.75,0.0,0.0,1.0
310538,121225,-11190,-187.0,3,3,0.3167261347942596,0.2241441226322805,0.5316861425197883,1,0,1,0.0167113494191242,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.75,0.0,0.0,1.0
310561,121379,-19808,-1991.0,2,2,0.5068562993052422,0.3564388067988992,0.4812493411434029,1,0,1,0.100514943457189,-156.0,-156.0,-76.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0
310605,121733,-11183,-219.0,2,2,0.3317439730040205,0.6002912899190578,0.2445163919946749,0,0,0,0.0195832960743986,-2806.0,-1114.2,-490.1333333333333,0.4666666666666667,0.5333333333333333,1.0,0.0,0.0,1.0
310627,121881,-15392,-2294.0,2,2,0.5068562993052422,0.5086769756328979,0.6347055309763198,0,0,1,0.1490384615384615,-1278.0,-884.0,-312.0,0.2,0.8,0.4444444444444444,0.1111111111111111,0.0,0.8888888888888888
310654,122074,-20166,-1758.0,2,2,0.5068562993052422,0.5515134150874,0.3979463219016906,0,0,1,0.1310344827586207,-2372.0,-1228.5,-623.625,0.375,0.625,0.75,0.25,0.0,0.75
310708,122387,-21644,-3394.0,2,2,0.6844807634411425,0.6338055449322413,0.4471785780453068,1,0,1,0.156810201441508,-298.0,-284.5,-82.5,1.0,0.0,0.75,0.25,0.25,0.75
310716,122452,-16917,-2427.0,2,2,0.4460386407399763,0.1683517890280312,0.6075573001388961,1,0,1,0.1434651533959922,-2436.0,-1550.6,-1178.4,0.2,0.8,0.8333333333333334,0.1666666666666666,0.0,0.8333333333333334
310750,122741,-10123,-168.0,1,1,0.1391615080359203,0.6764566997355662,0.5316861425197883,0,0,0,0.0165958707892917,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.5,0.0833333333333333,0.0,0.9166666666666666
310772,122902,-19172,-1778.0,2,2,0.5068562993052422,0.6728135353879603,0.5316861425197883,1,1,0,0.0927394116419778,-1838.0,-1094.0,-467.9,0.3333333333333333,0.6666666666666666,0.75,0.25,0.25,0.75
310809,123136,-9675,-1210.0,2,2,0.2150070885114753,0.1232157892840509,0.1359510441732951,1,0,1,0.1250645994832041,-147.0,-147.0,-16.0,1.0,0.0,0.875,0.0,0.0,1.0
310821,123227,-18158,-1567.0,2,2,0.8013176803151326,0.7091736214614321,0.7106743858828587,1,1,0,0.0862980504460843,-2849.0,-1432.5,-823.7142857142857,0.0714285714285714,0.9285714285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143
310828,123260,-12920,-2147.0,2,2,0.3913551279664032,0.653037537725841,0.6496203111237195,1,0,0,0.1661764705882353,-2539.0,-1639.111111111111,-751.1111111111111,0.2222222222222222,0.6666666666666666,1.0,0.0,0.0,1.0
310839,123334,-20842,-1758.0,3,3,0.3462872652252384,0.2241403198053452,0.4170996682522097,0,0,1,0.1310344827586207,-2621.0,-1485.3333333333333,-851.0833333333334,0.4166666666666667,0.5833333333333334,1.0,0.0,0.0,1.0
